Collection ID,GenBank Accession,Date,Location,Decimal Degrees GPS Coordinates,Host,Collector
00-28,PX844238,12vii2000,"USA: MI, Livingston Co., Pinckney",,Hamamelis virginiana,Carol von Dohlen
01-34,PX844235,04vi2001,"USA: IL, DuPage Co., Lisle",,Betula papyrifera,Carol von Dohlen
19-06,PX844242,19vi2019,"USA: FL, Santa Rosa Co., Blackwater State Forest","30.650450, -86.868059",Hamamelis virginiana,Ron Miller
23-01,PX844248,9v2023,"USA: CT, Hartford Co., Bloomfield","41.832542, -72.766365",Betula nigra,Carol von Dohlen
23-02,,12v2023,"USA: CT, Hartford Co., West Hartford, Reservoir #6","41.793968, -72.783252",Betula lenta,Carol von Dohlen
23-03,PX844243,6vii2023,"USA: NH, Coos Co., Pittsburg","45.107405, -71.240953",Betula alleghaniensis,Carol von Dohlen
23-04,PX844244,6vii2023,"USA: NH, Coos Co., Pittsburg","45.113034, -71.247738",Betula alleghaniensis,Carol von Dohlen
23-05,,11vii2023,"USA: NH, Coos Co., Pittsburg","45.109078, -71.244923",Betula alleghaniensis,Carol von Dohlen
23-06,,16vii2023,"USA: VT, Washington Co., Duxbury, Camel's Hump Road","44.341324, -72.833359",Hamamelis virginiana,Carol von Dohlen
23-07,,16vii2023,"USA: VT, Washington Co., Duxbury, Camel's Hump Road","44.338040, -72.832810",Hamamelis virginiana,Carol von Dohlen
23-08,,16vii2023,"USA: VT, Caledonia Co., Groton State Forest Nature Center","44.285955, -72.264958",Betula papyrifera,Carol von Dohlen
23-10,,19vii2023,"USA: NH, Coos Co., Pittsburg, Smith Brook Rd","45.11808, -71.19665",Betula alleghaniensis,Carol von Dohlen
23-11,,19vii2023,"USA: NH, Coos Co., Pittsburg, Smith Brook Rd","45.11506, -71.19469",Betula alleghaniensis,Carol von Dohlen
23-12,,20vii2023,"USA: NH, Coos Co., Pittsburg, 2nd Connecticut Lake Dam","45.14186, -71.18181",Betula alleghaniensis,Carol von Dohlen
23-13,,22vii2023,"CA: ON, Ottawa, Dominion Arboretum",,Hamamelis virginiana,"Carol von Dohlen, Eric Maw, Robert G. Foottit"
23-14,,25vii2023,"USA: MI, Menominee Co., Norway, Menominee River State Recreation Area, Piers Gorge","45.759795, -87.938342",Hamamelis virginiana,Carol von Dohlen
23-15,,25vii2023,"USA: MI, Dickinson Co., between Norway & Faithorn","45.689407, -87.786309",Hamamelis virginiana,Carol von Dohlen
23-16,PX844246,25vii2023,"USA: MI, Menominee Co., Menominee, Mason Park","45.134860, -87.666965",Betula nigra,Carol von Dohlen
23-17,,25vii2023,"USA: WI, Brown Co., Green Bay, Green Bay Botanical Garden","44.531158, -88.099593",Hamamelis virginiana,Carol von Dohlen
23-18,,25vi2023,"CA: ON, Ottawa","45.03918, -75.90267",Betula papyrifera,Eric Maw
23-19,,9viii2023,"USA: MD, Prince George's Co., College Park, Queens Chapel Road","38.96972, -76.94307",Hamamelis virginiana,"Gavin Munson, Carol von Dohlen"
23-20,PX844255,10viii2023,"USA: MD, Montgomery Co., Clarksburg, Little Bennett Park","39.26376, -77.28477",Hamamelis virginiana,"Gavin Munson, Carol von Dohlen"
23-22,,10viii2023,"USA: MD, Montgomery Co., Clarksburg, Little Bennett Park","39.26376, -77.28477",Hamamelis virginiana,"Gavin Munson, Carol von Dohlen"
