Collection_ID,Slide_ID,Gen,Clade,Morph,a3_length,a4_length,a5_length,abdomen_width,antenna_length,body_length,body_width,cauda_length,cauda_width,compound_eye_width,forewing_length,hindwing_length,metafemur_length,metatarsomere_length,metatibia_length,n_a3_sensoria,n_a3_setae,n_a4_sensoria,n_a4_setae,n_a5_sensoria,n_a5_setae,n_antennal_segments,n_apical_antenna_setae,n_apical_head_setae,n_bilobed_anal_plate_setae,n_cauda_long_setae,n_cauda_short_setae,n_genital_plate_setae,n_hindwing_hooklets,n_metacoxa_setae,n_metafemur_setae,n_metatarsus_1_setae,n_metatarsus_2_setae,n_metatibia_apical_setae,n_metatibia_setae,n_pedicel_setae,n_rostrum_2_setae,n_scape_setae,n_urs_secondary_setae,pedicel_length,protibia_length,rostrum_length,thorax_width,urs_length,urs_width
25-74,I-H-09,1,H,aptera,0.047228131,0.038034667,NA,NA,0.161528241,1.805713187,1.623232294,NA,NA,NA,NA,NA,0.232728668,0.059335856,0.224383766,NA,0,NA,0,NA,NA,3,4,6,NA,NA,NA,NA,NA,4,6,1,3,6,4,NA,NA,2,4,0.040871999,NA,NA,NA,0.06715452,0.033422529
25-75,I-H-03,1,H,aptera,0.063976727,0.043199735,NA,NA,0.181892003,2.101882574,1.998654791,0.027460839,0.045036483,NA,NA,NA,0.228481387,0.052734726,0.219323981,NA,0,NA,0,NA,NA,3.5,3,6,13,2,4,14,NA,5,4,2,NA,6,5,NA,6,2,3,0.043513431,NA,NA,NA,0.062131257,0.040236663
25-76,I-H-04,1,H,aptera,0.06314077,0.046567918,NA,NA,0.192347937,2.033464016,NA,0.078372602,0.042353326,NA,NA,NA,0.237149604,0.055390253,0.241648236,NA,0,NA,0,NA,NA,3.5,3,6,13,2,5,14,NA,5,4,1,4,4,4,NA,NA,1,3,0.043134666,NA,0.27035722,NA,0.060366309,0.045775597
25-77,I-H-05,1,H,aptera,0.046190714,0.036578364,NA,NA,0.143820588,1.722474375,1.579043692,0.022843096,0.039236194,NA,NA,NA,0.224109638,0.048384105,0.2263081,NA,0,NA,0,NA,NA,3,5,6,14,2,2,13,NA,4,4,2,3,6,4,NA,NA,1,4,0.041821001,NA,0.264779297,NA,0.067371614,0.046037941
25-78,I-H-06,1,H,aptera,0.054618238,0.050744687,NA,NA,0.166138945,NA,NA,0.03471786,0.046472782,NA,NA,NA,0.24635822,0.060465536,0.246422838,NA,0,NA,1,NA,NA,3,2,6,14,2,2,13,NA,5,5,NA,3,5,4,NA,NA,2,5,0.043147236,NA,0.277759775,NA,0.070277709,0.043676118
25-80,I-H-07,1,H,aptera,0.041295182,0.052319242,NA,NA,0.176761487,2.123764546,1.650739343,0.034569347,0.050758208,NA,NA,NA,0.2630603,0.065219359,0.236683878,NA,0,NA,1,NA,NA,3,3,6,13,2,4,16,NA,5,5,2,3,5,5,NA,6,1,4,0.041274821,NA,0.348644237,NA,0.060830195,0.050448742
25-82,I-H-08,1,H,aptera,0.043808062,0.039084142,NA,NA,0.170567431,2.134563286,1.960719499,0.034189427,0.051168726,NA,NA,NA,0.251430593,0.053960996,0.272272679,NA,0,NA,0,NA,NA,3,2,6,17,2,3,16,NA,4,6,2,3,6,2,NA,6,2,4,0.049114827,NA,0.322463835,NA,0.071662666,0.052112597
"DS: Davis, WV",I-WV-01,1,NA,aptera,0.060662773,0.037510617,NA,NA,0.164452783,1.872376423,1.710468114,0.023534575,0.033311932,NA,NA,NA,0.243488203,0.060881237,0.249330908,NA,1,NA,NA,NA,NA,3,3,2,12,2,2,15,NA,5,6,0,3,3,1,NA,3,2,2,0.045985471,NA,0.317134788,NA,0.071347634,0.05026752
"CvD: '87 #6; GWNF, VA",GWNF-87 #6,1,NA,aptera,0.066335452,0.046354624,NA,NA,0.193577276,NA,2.2024534,0.037155961,0.046138805,NA,NA,NA,0.262504483,0.059181951,0.265543431,NA,0,NA,0,NA,NA,3,3,5,16,2,2,13,NA,4,3,0,3,5,6,NA,NA,2,NA,0.045164131,NA,0.327493567,NA,0.071726458,0.051432306
"CvD: '87 #7; GWNF, VA",GWNF-87 #7,1,NA,aptera,0.09401337,0.031837613,NA,NA,0.182874135,2.729744611,2.183965219,0.033329973,0.044028315,NA,NA,NA,0.271167125,0.055827119,0.265048181,NA,0,NA,1,NA,NA,3,3,6,16,2,3,16,NA,5,5,0,4,6,7,NA,6,2,6,0.045266425,NA,NA,NA,0.076656933,0.054290801
"CvD: '88 #1; GWNF, VA",I-H-01,1,NA,aptera,0.053262003,0.042394258,NA,NA,0.175157793,2.144414157,1.999172072,0.036881888,0.056186566,NA,NA,NA,0.236203172,0.059022253,0.236569467,NA,0,NA,0,NA,NA,3,4,4,14,2,6,18,NA,4,2,0,3,6,2,NA,2,2,4,0.043750171,NA,0.297531101,NA,0.059397367,0.04910343
"CvD: '88 #2; GWNF, VA",I-H-02,1,NA,aptera,0.055044844,0.043006331,NA,NA,0.172174833,2.182792037,2.040221192,0.033350095,0.045428084,NA,NA,NA,0.230205715,0.058582447,0.218786281,NA,0,NA,0,NA,NA,4,3,4,14,2,2,11,NA,5,3,0,5,5,2,NA,2,2,5,0.045084024,NA,NA,NA,0.07395315,0.038895492
23-105a,I-L-01,1,L,aptera,0.037954639,0.041573186,NA,NA,0.136362545,2.13568097,1.859576958,0.028846266,0.042775873,NA,NA,NA,0.2551412,0.055921186,0.230402876,NA,1,NA,2,NA,NA,4,3,2,17,2,2,13,NA,6,6,1,2,3,7,NA,NA,2,NA,0.047458192,NA,NA,NA,0.046573377,0.043855816
23-105b,I-L-02,1,L,aptera,0.055676988,0.038908863,NA,NA,0.171544802,1.930261006,1.793952983,0.026424637,0.052067041,NA,NA,NA,0.236005274,0.057134784,0.227050633,NA,0,NA,3,NA,NA,4,3,4,15,2,3,13,NA,2,5,1,1,5,4,NA,4,2,2,0.03757222,NA,0.288646951,NA,0.052193771,0.04176219
23-113,I-L-06,1,L,aptera,0.06740242,0.03942075,NA,NA,0.19167463,2.31694219,2.28801941,0.02308153,0.03742099,NA,NA,NA,0.24967262,0.05514657,0.23936511,NA,0,NA,NA,NA,NA,4,3,2,14,2,NA,15,NA,5,9,1,2,5,7,NA,NA,2,2,0.04530829,NA,0.22482882,NA,0.06371793,0.04993289
23-116,I-L-07,1,L,aptera,0.055216874,0.040252017,NA,NA,0.187511795,2.468573045,2.267486787,0.021381041,0.032926281,NA,NA,NA,0.241069761,0.050168085,0.228049211,NA,0,NA,0,NA,NA,4,3,2,13,2,3,11,NA,4,5,1,2,4,5,NA,2,2,2,0.041045684,NA,0.275801248,NA,0.072994034,0.044053856
23-128,I-L-08,1,L,aptera,0.04458446,0.044925844,NA,NA,0.178255401,2.252582797,1.95342728,0.034726805,0.05771094,NA,NA,NA,0.252271446,0.066067625,0.250046713,NA,0,NA,0,NA,NA,3,3,2,15,2,4,16,NA,5,2,1,2,4,5,NA,6,2,2,0.048791113,NA,0.3296927,NA,0.060133141,0.049834328
23-20,I-L-03,1,L,aptera,0.061705637,0.045563916,NA,NA,0.181183215,2.13236631,1.953040272,0.040652588,0.071172549,NA,NA,NA,0.243891155,0.057442369,0.268752183,NA,0,NA,1,NA,NA,4,2,2,17,2,4,13,NA,5,3,NA,NA,2,6,NA,3,2,2,0.048224655,NA,0.306649513,NA,0.074851781,0.04543927
23-30,I-L-09,1,L,aptera,0.060602011,0.056990549,NA,NA,0.198150287,2.248133051,2.093251594,0.034663332,0.060478022,NA,NA,NA,0.2619359,0.056964318,0.247918009,NA,0,NA,0,NA,NA,4,3,2,17,2,4,14,NA,5,9,1,4,6,5,NA,NA,2,2,0.040436787,NA,0.262821257,NA,0.06675115,0.041403058
23-53,I-L-05,1,L,aptera,0.048829512,0.036425913,NA,NA,0.172981127,2.044010143,1.893507506,0.032923271,0.040305928,NA,NA,NA,0.23853131,NA,NA,NA,0,NA,1,NA,NA,4,3,NA,15,2,4,13,NA,6,NA,NA,NA,NA,NA,NA,NA,1,2,0.042864023,NA,0.247800939,NA,0.064700284,0.047917767
23-82,I-L-04,1,L,aptera,0.061884474,0.038846042,NA,NA,0.172049628,2.17129818,1.812642089,0.028306747,0.044829226,NA,NA,NA,0.247694075,0.060520467,0.242570531,NA,0,NA,NA,NA,NA,3,4,NA,11,2,5,13,NA,5,8,1,2,5,9,NA,NA,2,2,0.041662353,NA,NA,NA,0.068484957,0.045767169
23-83,I-L-10,1,L,aptera,0.061688549,0.05222574,NA,NA,0.200591433,2.388998943,2.123503483,0.021502684,0.049346324,NA,NA,NA,0.273353325,0.058515394,0.25000702,NA,0,NA,1,NA,NA,3,3,2,14,2,3,18,NA,4,3,1,1,5,6,NA,6,2,2,0.054616962,NA,0.351321038,NA,0.071906929,0.052015965
23-06a,I-N-01,1,N,aptera,0.060349274,0.026209198,NA,NA,0.162266694,2.030479969,1.798357599,0.032922666,0.054639588,NA,NA,NA,0.247654973,0.067471447,0.236596033,NA,0,NA,0,NA,NA,3,3,2,15,2,4,17,NA,5,5,2,4,5,7,NA,2,2,3,0.037198202,NA,NA,NA,0.055936117,0.051145457
23-06b,I-N-02,1,N,aptera,0.05786142,0.052398858,NA,NA,0.177738908,2.207495302,1.828862239,0.033289472,0.046659937,NA,NA,NA,0.26855099,0.072853945,0.257223318,NA,0,NA,NA,NA,NA,4,3,2,16,2,4,16,NA,4,6,1,4,5,7,NA,5,1,2,0.036580243,NA,NA,NA,0.071365513,0.044484703
23-06c,I-N-03,1,N,aptera,0.05211308,0.047044353,NA,NA,0.18265665,2.245442439,1.906852482,0.043491806,0.055582853,NA,NA,NA,0.280844565,0.074594293,0.266355229,NA,0,NA,0,NA,NA,3,3,NA,15,2,4,14,NA,4,7,1,5,6,8,NA,NA,2,2,0.045131976,NA,NA,NA,0.087551693,0.05309236
23-06d,I-N-04,1,N,aptera,0.067306192,0.049028298,NA,NA,0.199372691,2.011676285,1.728384147,0.02917579,0.054209439,NA,NA,NA,0.245097282,0.069833296,0.240157565,NA,0,NA,0,NA,NA,4,3,NA,15,2,3,15,NA,4,5,2,4,5,4,NA,NA,2,3,0.041893898,NA,NA,NA,0.063247477,0.048041735
23-06e,I-N-05,1,N,aptera,0.058460429,0.052051855,NA,NA,0.16896319,2.036620963,1.743851153,0.045810333,0.04397352,NA,NA,NA,0.255804968,0.076416851,0.23480749,NA,0,NA,0,NA,NA,4,3,NA,14,2,4,14,NA,4,6,2,5,6,6,NA,5,2,3,0.044156092,NA,NA,NA,0.07328225,0.04800674
23-07,I-N-11,1,N,aptera,0.070627481,0.041308324,NA,NA,0.21292942,2.455574698,1.913619304,0.051468267,0.064802892,NA,NA,NA,0.309129023,0.071113322,0.314515871,NA,0,NA,0,NA,NA,3,2,7,17,2,5,17,NA,4,5,2,4,6,9,NA,6,2,5,0.050256115,NA,0.317689586,NA,0.05758457,0.083798878
24-69,I-N-14,1,N,aptera,0.070040302,0.041791214,NA,NA,0.203633665,2.153045365,2.113431121,0.054297521,0.055567227,NA,NA,NA,0.271487661,0.064102533,0.277082997,NA,0,NA,0,NA,NA,3,3,6,15,2,5,17,NA,3,4,1,4,6,7,NA,6,2,5,0.050412858,NA,0.344657617,NA,0.080373284,0.055899093
24-70,I-N-06,1,N,aptera,0.07102418,0.043445829,NA,NA,0.187297886,2.055516783,1.334299228,0.036959817,0.052750049,NA,NA,NA,0.27453512,0.070144077,0.254250716,NA,0,NA,1,NA,NA,3,4,7,18,2,5,21,NA,6,NA,2,5,6,7,NA,6,2,5,0.046429316,NA,0.390694015,NA,0.075380918,0.049078015
24-71,I-N-07,1,N,aptera,0.073516237,0.056365738,NA,NA,0.221849874,2.372366046,2.109347308,0.050298425,0.063334515,NA,NA,NA,0.279290831,0.073702257,0.26796025,NA,0,NA,0,NA,NA,4,4,6,14,2,5,17,NA,5,4,2,4,6,7,NA,6,2,4,0.04785969,NA,0.362256875,NA,0.08358751,0.052950502
24-72,I-N-09,1,N,aptera,0.08180024,0.060621983,NA,NA,0.232768745,2.276124736,1.80539252,0.045060486,0.058064878,NA,NA,NA,0.264421261,0.065256988,0.254642005,NA,0,NA,1,NA,NA,4,3,6,19,2,5,16,NA,4,7,2,4,6,9,NA,5,2,4,0.054986496,NA,0.332614761,NA,0.076918668,0.055487361
24-74,I-N-08,1,N,aptera,0.064023989,0.040170145,NA,NA,0.196628232,2.30739559,1.963149051,0.032923271,0.040305928,NA,NA,NA,0.266434949,0.064659338,0.25613786,NA,0,NA,0,NA,NA,3,3,7,14,2,6,18,NA,6,5,1,5,6,7,NA,6,2,6,0.049760872,NA,NA,NA,0.076381333,0.052207619
24-76,I-N-13,1,N,aptera,0.076326866,0.046676625,NA,NA,0.200269071,2.257513934,1.892793422,NA,NA,NA,NA,NA,0.279853909,0.07343045,0.281882549,NA,0,NA,0,NA,NA,3.5,3,7,16,2,4,18,NA,3,3,2,4,6,6,NA,6,1,NA,0.045991351,NA,0.356312185,NA,0.065364047,0.059287804
24-78,I-N-12,1,N,aptera,0.051039919,0.034320914,NA,NA,0.163448455,2.174202795,1.824972351,NA,NA,NA,NA,NA,0.256873874,0.065800916,0.24541163,NA,0,NA,0,NA,NA,3,3,6,14,2,4,14,NA,4,7,2,4,6,6,NA,NA,2,2,0.036268682,NA,NA,NA,0.074244134,0.044537959
24-81,I-N-10,1,N,aptera,0.06940085,0.042174161,NA,NA,0.19747844,2.019766696,1.983470643,0.042260759,0.059045128,NA,NA,NA,0.278274865,0.067023864,0.273743633,NA,0,NA,1,NA,NA,4,3,6,15,2,4,19,NA,5,6,2,3,6,20,NA,NA,2,5,0.046952773,NA,NA,NA,0.086855536,0.039975704
23-124a,II-H-01,2,H,alate,0.302327498,0.149550472,0.117747783,0.860105636,NA,1.79271444,NA,0.043910103,0.059564724,0.125451524,2.407187157,1.305023504,0.414251043,0.101619481,0.502278178,29,NA,13,NA,9,NA,NA,3,NA,14,2,9,29,2,4,16,2,NA,5,38,NA,NA,NA,NA,0.056227393,0.343860414,NA,0.885120952,NA,NA
23-124b,II-H-02,2,H,alate,0.296767593,0.140469774,0.122152435,0.957878901,NA,1.964081829,NA,0.028218432,0.070018252,0.113828356,2.323282111,1.296871011,0.369807114,0.109481115,0.504619155,28,NA,14,NA,10,NA,NA,3,NA,16,2,8,30,2,4,15,3,NA,5,44,NA,NA,NA,6,0.052276494,0.354325082,0.366267453,0.852297883,0.074285792,0.0381447
23-124c,II-H-03,2,H,alate,0.298007275,0.143121776,0.117582023,0.942807517,NA,1.958285796,NA,0.028422061,0.059458303,0.10600436,2.303568192,1.350714267,0.399624729,0.075946473,0.487264839,26,NA,13,NA,10,NA,NA,4,NA,15,2,11,30,2,4,15,3,NA,6,40,NA,NA,NA,3,0.055004576,0.317209303,0.395661678,0.824954194,0.060106599,0.04116413
23-124e,II-H-04,2,H,alate,0.295829975,0.138834732,0.123370224,NA,NA,NA,NA,0.032132434,0.055067295,0.137242988,2.351181341,1.385073083,0.399159748,0.101112396,0.498379615,31,NA,14,NA,9,NA,NA,4,NA,18,2,7,28,2,4,20,NA,NA,6,40,NA,NA,NA,5,0.049628237,0.333939317,0.353995695,0.907088474,0.052327078,0.038154322
23-124f,II-H-05,2,H,alate,0.302958094,0.141790845,0.119428306,0.965988858,NA,2.127439139,NA,0.038936088,0.055993208,0.141331306,2.427448454,1.356261673,0.41520272,0.099485411,0.518458793,33,NA,11,NA,12,NA,NA,2,NA,19,2,11,38,2,5,22,2,NA,5,35,NA,NA,NA,3,0.054827113,0.340177995,0.369310726,0.919107322,0.072415193,0.042578264
23-124g,II-H-06,2,H,alate,0.285259558,0.133653282,0.102654948,0.900538394,NA,1.751492177,NA,0.042385287,0.054125878,0.107462179,2.447408543,1.438765878,0.382175177,0.090518814,0.490497334,26,NA,13,NA,9,NA,NA,3,NA,19,2,11,30,2,4,16,3,NA,5,41,NA,NA,NA,NA,0.051229114,0.314644156,NA,0.795266776,NA,NA
23-127a,II-H-11,2,H,alate,0.290214252,0.138251275,0.114022229,1.254486778,NA,2.515597811,NA,0.035387396,0.050189435,0.160636562,2.667699402,1.678905034,0.429928363,0.098447593,0.540370462,30,NA,14,NA,11,NA,NA,4,NA,21,2,8,25,2,4,24,3,NA,7,48,NA,NA,NA,6,0.048983711,0.371609637,NA,0.951173559,0.063851258,0.045296461
23-127b,II-H-12,2,H,alate,0.309310601,0.157889641,0.132883715,1.071646803,NA,2.241089432,NA,0.048193179,0.060698443,0.182363391,2.628208412,1.667895045,0.428639472,0.100923527,0.540110238,35,NA,14,NA,12,NA,NA,5,NA,18,2,8,23,2,4,20,5,NA,6,48,NA,NA,NA,6,0.049327907,0.377933915,0.331499705,0.999715696,0.069902551,0.053603853
23-127c,II-H-13,2,H,alate,0.282537296,0.15081826,0.130360171,1.044843609,NA,2.136798148,NA,0.049953464,0.05963714,0.163723411,2.626247971,1.69421065,0.406380702,0.102090098,0.520648528,28,NA,13,NA,12,NA,NA,5,NA,17,2,10,23,2,6,21,3,NA,6,42,NA,NA,NA,6,0.044080867,0.339223822,0.334435813,0.93453842,0.072530988,0.061433871
23-127d,II-H-14,2,H,alate,0.296825669,0.147868333,0.121998213,1.125128294,NA,1.805774864,NA,0.047933109,0.058657203,0.162851472,2.497885229,1.505510422,0.4152223,0.103940352,0.517983261,29,NA,13,NA,13,NA,NA,4,NA,22,2,9,25,2,5,26,3,NA,6,47,NA,NA,NA,6,0.042430076,0.361718271,0.290916859,0.894216048,0.069556318,0.048017619
23-129a,II-H-15,2,H,alate,0.306126633,0.139583603,0.12941178,0.82189847,NA,2.062603074,NA,0.045951883,0.047904536,0.121638321,2.465914917,1.542811814,0.399194616,0.108878473,0.500191229,30,NA,11,NA,12,NA,NA,5,NA,17,2,6,24,2,4,22,3,NA,6,41,NA,NA,NA,6,0.042372117,0.329324499,0.401981675,0.853603294,0.073185053,0.055305207
23-129b,II-H-16,2,H,alate,0.296191781,0.131552493,0.130068022,NA,NA,NA,NA,0.047789991,0.046478342,0.152853318,2.436644155,1.495858492,0.39244881,0.105097108,0.481292806,28,NA,12,NA,12,NA,NA,5,NA,16,2,6,22,2,4,18,3,NA,6,36,NA,NA,NA,6,0.047511621,0.33453857,0.380426612,0.888660908,0.065593374,0.049498095
